time,long,lat,speed,heading,odometer,power
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455123043,-92.3562134,38.9227468,0.0,280.5,160582270.0,on
1455123043,-92.3562134,38.9227468,0.0,280.5,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123050,-92.356227,38.9227501,3.9,270.8,160582270.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123101,-92.3569311,38.9231898,5.3,340.8,160582370.0,on
1455123124,-92.3570212,38.9237451,0.0,349.7,160582435.0,on
1455123129,-92.3570302,38.9237578,5.0,345.1,160582435.0,on
